Garnar Greatbuster
Grygrim Blackdelver
Ermnus Grayheart
Benduhr Broadhand
Bharmiir Strongkind
Urmgurn Graengavann
Malnyl Glotgahk
Darthran Cardert
Grildrus Threzziguck
Daldrus Glurthigeln
Balmiir Brawnbuster
Thurren Madhelm
Bundrum Mightreach
Dargarn Thundersong
Bromnar Ironpast
Grilgrim Rerekag
Hjalkahm Hallovork
Hjulnir Rahurt
Torthran Fenkevom
Maldrum Gezzivahk
Hjolnir Boldboot
Muirmiir Graysong
Thorgrom Everflight
Hjolron Giantgift
Benkuhm Fireshield
Guldan Thrathgek
Thelrum Lamnert
Kromgurn Cozzuhog
Garkohm Strumnagar
Bromman Lofdick
Thurnar Deepreach
Torduhr Deepforce
Bharmir Stoneanvil
Hurkam Evenpast
Malgrum Darkbuster
Gulthrun Gonhekeg
Krummir Cetguhr
Umrik Ludirr
Gramdar Bralliln
Ermdrus Thrangonehr
Armrum Mightaxe
Grendahr Loudeyes
Gulthrum Boulderdelver
Gremmor Broodfront
Hulmund Trolltankard
Baerdar Temnig
Thelkam Malbrivohk
Khardan Garthurt
Grilthrun Strathguneg
Melrom Glofdegehk
Krammund Frostkith
Gramdain Kinddelver
Thelgrim Broodfeast
Brammus Loudreach
Thelnom Frozenblade
Bhargurn Honkakeg
Rotdahr Rardack
Bharron Tollevag
Hjoldan Gardor
Berdrom Mothgehan
Belkom Stormshaper
Balnur Trollstorm
Ragrig Sternmight
Bramgus Battlefound
Umrak Kindbeard
Grangurn Stratgakig
Bhelkyl Glafderk
Khardek Laetgugek
Doldrom Threrthikurr
Hulmiir Brakar
Adthran Flinteyes
Ragnik Stormblood
Mornum Bigblade
Gulrom Goldward
Theriggs Truebranch
Gremmond Grullim
Thelrik Garihr
Bhalren Golbreln
Daerbrek Gordam
Gimdram Gramnen
Berrak Burrowpride
Thalkam Silveraxe
Harkum Goblinrock
Emrig Bronzepast
Baerkum Broodgift
Tordren Rangevag
Ermrigg Dahererk
Hjolrig Bungork
Bramnam Bunkonarr
Daergarn Thrarthovag
Gerkahm Burrowback
Gimmar Battlefinder
Belkom Ironbelch
Hulram Steelrock
Karkum Keenfall
Gimgus Glurdagam
Hulmand Brethgivarr
Bromgrom Fatgok
Kromthrun Huzzohig
Emrik Threngem
